Time,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
12.72932,426.785,53.775,47.55,-0.1183288,-0.6300249,-0.08232385,0.7630791
12.75037,426.785,53.775,47.55,-0.1183594,-0.6300182,-0.08227348,0.7630853
12.76616,426.785,53.775,47.55,-0.1183118,-0.6299916,-0.08244368,0.7630963
12.78671,426.785,53.775,47.55,-0.1180821,-0.6299838,-0.08239423,0.7631437
12.80718,426.785,53.775,47.55,-0.1181489,-0.6301395,-0.08238246,0.7630061
12.82767,426.785,53.775,47.55,-0.1182687,-0.6300492,-0.08239946,0.7630602
12.84856,426.785,53.775,47.55,-0.1182657,-0.6299667,-0.08232822,0.7631366
12.8689,426.785,53.775,47.55,-0.1181365,-0.629997,-0.08238078,0.7631259
12.88926,426.785,53.775,47.55,-0.1181002,-0.630038,-0.08242261,0.7630931
12.90955,426.785,53.775,47.55,-0.1182339,-0.6301581,-0.08235519,0.7629805
12.92989,426.785,53.775,47.55,-0.1182969,-0.6300762,-0.08230818,0.7630434
12.94651,426.785,53.775,47.55,-0.1183726,-0.6300341,-0.08205183,0.763094
12.96736,426.785,53.775,47.55,-0.1181356,-0.6305978,-0.08189142,0.7626823
12.98767,426.785,53.775,47.55,-0.1180203,-0.6306092,-0.08185579,0.7626945
13.00813,426.785,53.775,47.55,-0.1179367,-0.6309285,-0.08192186,0.7624363
13.02848,426.785,53.775,47.55,-0.1179671,-0.630982,-0.08197063,0.7623819
13.04909,426.785,53.775,47.55,-0.1181345,-0.6309625,-0.0818077,0.7623897
13.06971,426.785,53.775,47.55,-0.1181901,-0.6308346,-0.08151098,0.7625188
13.08983,426.785,53.775,47.55,-0.1180906,-0.6307918,-0.08156841,0.7625634
13.11038,426.785,53.775,47.55,-0.117977,-0.6309643,-0.08150686,0.7624448
13.12671,426.785,53.775,47.55,-0.1180919,-0.6309514,-0.0815775,0.7624302
13.14717,426.785,53.775,47.55,-0.1181538,-0.631011,-0.08147307,0.7623824
13.16771,426.785,53.775,47.55,-0.118329,-0.6309524,-0.08137277,0.7624146
13.18811,426.785,53.775,47.55,-0.1182198,-0.6309917,-0.08113208,0.7624245
13.20855,426.785,53.775,47.55,-0.1179767,-0.6309056,-0.08105624,0.7625416
13.22886,426.785,53.775,47.55,-0.1176001,-0.6309505,-0.0808648,0.762583
13.24983,426.785,53.775,47.55,-0.1173091,-0.6312035,-0.08063059,0.7624431
13.26997,426.785,53.775,47.55,-0.1173149,-0.6312786,-0.08052631,0.762391
13.28648,426.785,53.775,47.55,-0.1173807,-0.6313815,-0.08042505,0.7623065
13.30711,426.785,53.775,47.55,-0.1171479,-0.6312333,-0.08044392,0.7624629
13.32723,426.785,53.775,47.55,-0.1167189,-0.6312666,-0.08011287,0.7625361
13.34774,426.785,53.775,47.55,-0.1165892,-0.6312579,-0.07959839,0.762617
13.36822,426.785,53.775,47.55,-0.1167264,-0.6314364,-0.07910105,0.7624999
13.38877,426.785,53.775,47.55,-0.1164914,-0.6316479,-0.07858308,0.7624143
13.40933,426.785,53.775,47.55,-0.1159486,-0.6318294,-0.07876702,0.7623276
